location,gender
Albania,male
Andorra,male
Austria,male
Belarus,male
Belgium,male
Bosnia and Herzegovina,male
Bulgaria,male
Croatia,male
Cyprus,male
Czechia,male
Denmark,female
Estonia,female
Finland,female
France,male
Germany,female
Greece,female
Hungary,male
Iceland,female
Ireland,male
Italy,male
Kosovo,female
Latvia,male
Liechtenstein,male
Lithuania,female
Luxembourg,male
Malta,male
Moldova,male
Monaco,male
Montenegro,male
Netherlands,male
North Macedonia,male
Norway,female
Poland,male
Portugal,male
Romania,male
Russia,male
San Marino,male
Serbia,female
Slovakia,female
Slovenia,male
Spain,male
Sweden,male
Switzerland,female
Ukraine,male
United Kingdom,male
Vatican,male
